client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
4280;01/03/2021;1;1;0;1;0;6.9;1;0;0;0;0;0;7;0;0;0.355;0.339;125;2;1;1;93.07;0
4308;01/07/2021;1;0;0;0;1;6.9;2;0;0;0;3;0;5;0;0;0.675;null;244;null;1;0;19.9;0
4402;01/09/2021;1;1;0;0;1;3.45;3;0;0;0;1;0;10;0;0;0.798;0.788;292;1;1;1;0;0
4439;01/04/2022;1;0;0;0;1;6.9;4;1;0;0;1;0;3;0;0;1.366;null;498;null;0;1;13.9;0
4527;01/03/2022;1;0;0;0;1;6.9;6;4;0;0;1;0;3;0;0;1.239;null;450;null;0;1;-150.21;0
4644;01/02/2022;1;0;0;0;1;4.6;6;3;0;0;0;0;12;0;0;1.067;null;390;null;1;1;41.05;0
4678;01/02/2021;1;1;0;0;1;6.9;2;2;0;0;0;0;2;0;0;0.065;0.067;24;1;1;1;0;0
4874;01/01/2022;0;0;0;1;0;null;1;0;0;0;2;0;3;0;0;0.852;0.823;311;null;1;1;0;1
4889;01/01/2022;1;0;0;1;0;3.45;3;2;0;0;0;0;2;0;0;0.815;null;299;null;1;1;11.21;0
4897;01/03/2022;1;0;0;0;1;3.45;4;2;0;0;0;0;2;0;0;0.978;null;356;null;1;1;0;0
5147;01/08/2021;1;0;0;1;0;6.9;2;2;0;0;0;0;3;0;0;0.223;null;81;null;0;0;0;0
5283;01/01/2022;1;0;0;1;0;4.6;3;0;0;0;0;0;5;0;0;0.554;null;202;null;0;0;107.29;0
5334;01/04/2022;1;0;1;0;0;6.9;0;0;0;0;0;0;3;0;0;0.758;null;275;null;1;1;52.26;0
5433;01/02/2022;1;0;0;0;1;3.45;4;1;0;0;1;0;6;0;0;0.492;null;181;null;0;0;90.52;0
5457;01/12/2021;1;0;1;0;0;4.6;0;0;0;0;0;0;1;0;0;0.29;null;106;null;1;1;0;0
5482;01/10/2021;1;0;0;1;0;4.6;2;0;2;0;1;0;11;1;0;0.102;null;37;null;1;1;0;1
5588;01/02/2022;1;0;1;0;0;3.45;0;0;0;0;0;0;2;0;0;0.331;null;120;null;0;0;0;0
5608;01/01/2022;1;1;0;1;0;3.45;3;2;2;0;0;0;6;0;0;0.215;0.145;82;1;0;1;53.64;0
5735;01/04/2022;1;0;0;0;1;5.75;4;4;0;0;0;0;3;0;0;0.282;null;102;null;1;1;0;0
5755;01/02/2022;1;0;0;1;0;6.9;2;2;0;0;0;0;3;0;0;0.073;null;27;null;1;1;80.24;0
5770;01/04/2022;1;0;0;1;0;3.45;2;2;0;0;0;0;2;0;0;0.142;null;50;null;0;0;0;0
5784;01/03/2022;1;0;0;1;0;3.45;1;1;0;0;0;0;1;0;0;0.118;null;42;null;1;1;0;0
45;01/12/2020;0;1;0;1;0;null;0;0;0;0;0;0;3;0;0;12.008;3.774;208;1;1;1;32.85;0
